line,character,dialogue,sentiment,entities
79,BIGGS,"I know it's a long shot, but if I don't find them I'll do what I can on my own...  It's what we always talked about.  Luke, I'm not going to wait for the Empire to draft me into service.  The Rebellion is spreading and I want to be on the right side - the side I believe in. ",0.06298064818320892,"['Empire', 'Rebellion']"
80,LUKE,And I'm stuck here...,0.14249702383724472,[]
81,BIGGS,I thought you were going to the Academy next term.  You'll get your chance to get off this rock.,-0.22196705339256328,['Academy']
82,LUKE,Not likely!  I had to cancel my application.  There has been a lot of unrest among the Sand People since you left... they've even raided the outskirts of Anchorhead.,-0.48569040905315175,['Anchorhead']
83,BIGGS,Your uncle could hold off a whole colony of Sand People with one blaster.,-0.1718520053659096,['one']
84,LUKE,"I know, but he's got enough vaporators going to make the place pay off.  He needs me for just one more season.  I can't leave him now.",-0.10347124933671137,[]
85,BIGGS,"I feel for you, Luke, you're going to have to learn what seems to be important or what really is important.  What good is all your uncle's work if it's taken over by the Empire?...  You know they're starting to nationalize commerce in the central systems...it won't be long before your uncle is merely a tenant, slaving for the greater glory of the Empire.",-0.20765349705722325,"['Luke', 'Empire', 'Empire']"
86,LUKE,It couldn't happen here.  You said it yourself.  The Empire won't bother with this rock.,-0.36067640718066074,['Empire']
87,BIGGS,Things always change.,-0.3277700751613368,[]
88,LUKE,I wish I was going...  Are you going to be around long? ,-0.4070127645949506,[]
89,BIGGS,"No, I'm leaving in the morning...",-0.11465697255128005,[]
90,LUKE,Then I guess I won't see you.,0.36548678930343237,[]
91,BIGGS,Maybe someday...  I'll keep a lookout.,0.05661628732027313,[]
92,LUKE,"Well, I'll be at the Academy next season... after that who knows.  I won't be drafted into the Imperial Starfleet that's for sure...  Take care of yourself, you'll always be the best friend I've got.",0.24343482169768293,"['Academy', 'next season', 'the Imperial Starfleet']"
93,BIGGS,"So long, Luke.",-0.2992704475469099,['Luke']
94,THREEPIO,Artoo-Detoo!  It's you!  It's you!,-0.1872949291454855,['Artoo-Detoo']
95,FIRST TROOPER,Someone was in the pod.  The tracks go off in this direction. ,-0.4047146860843349,[]
96,SECOND TROOPER,"Look, sir - droids.",0.3539276030813505,[]
97,THREEPIO,Wake up!  Wake up!,-0.7546119168772141,[]
98,THREEPIO,We're doomed.,-0.6805049441101363,[]
99,THREEPIO,Do you think they'll melt us down?,-0.4611301892202302,[]
100,THREEPIO,Don't shoot!  Don't shoot!  Will this never end?,-0.30439911519685325,[]
101,BERU,"Luke, tell Owen that if he gets a translator to be sure it speaks Bocce.",-0.24353366512117725,"['Luke', 'Owen', 'Bocce']"
102,LUKE,It looks like we don't have much of a choice but I'll remind him.,0.19471289362186095,[]
103,OWEN,I have no need for a protocol droid.,-0.024389873934580475,[]
104,THREEPIO,Sir - not in an environment such as this - that's why I've also been programmed for over thirty secondary functions that...,-0.19072758587071448,['over thirty']
105,OWEN,What I really need is a droid that understands the binary languages of moisture vaporators.,0.0,[]
106,THREEPIO,Vaporators!  Sir - My first job was programming binary load lifters... very similar to your vaporators.  You could say...,-0.1149514350435148,['first']
107,OWEN,Do you speak Bocce?,-0.6497242344282694,[]
108,THREEPIO,"Of course I can, sir.  It's like a second language for me...  I'm as fluent in Bocce...",0.022791365678366482,['second']
109,OWEN,All right; shut up! I'll take this one.,0.21307523123890593,[]
110,THREEPIO,"Shutting up, sir.",-0.6095759664422968,[]
111,OWEN,"Luke, take these two over to the garage, will you?  I want you to have both of them cleaned up before dinner.",-0.06417228359911875,"['Luke', 'two']"
